"year","iso_code","country_code","country_or_subregion","total_cases"
1980,"AIA",660,"Anguilla",0
1980,"ATG",28,"Antigua and Barbuda",0
1980,"ARG",32,"Argentina",0
1980,"ABW",533,"Aruba",0
1980,"BHS",44,"Bahamas",0
1980,"BRB",52,"Barbados",0
1980,"BLZ",84,"Belize",4
1980,"BMU",60,"Bermuda",0
1980,"BOL",68,"Bolivia",0
1980,NA,NA,"Bonaire, Saint Eustatius and Saba",0
1980,"BRA",76,"Brazil",0
1980,"CAN",124,"Canada",0
1980,"CYM",136,"Cayman Islands",0
1980,"CHL",152,"Chile",0
1980,"COL",170,"Colombia",8964
1980,"CRI",188,"Costa Rica",0
1980,"CUB",192,"Cuba",0
1980,"CUW",531,"Curaçao",0
1980,"DMA",212,"Dominica",0
1980,"DOM",214,"Dominican Republic",54
1980,"ECU",218,"Ecuador",0
1980,"SLV",222,"El Salvador",2060
1980,"GUF",254,"French Guiana",0
1980,"GRD",308,"Grenada",0
1980,"GLP",312,"Guadeloupe",0
1980,"GTM",320,"Guatemala",30
1980,"GUY",328,"Guyana",0
1980,"HTI",332,"Haiti",255
1980,"HND",340,"Honduras",2078
1980,"JAM",388,"Jamaica",9
1980,"MTQ",474,"Martinique",0
1980,"MEX",484,"Mexico",51046
1980,"MSR",500,"Montserrat",0
1980,"NIC",558,"Nicaragua",0
1980,"PAN",591,"Panama",0
1980,"PRY",600,"Paraguay",0
1980,"PER",604,"Peru",0
1980,"PRI",630,"Puerto Rico",921
1980,"BLM",652,"Saint Barthelemy",0
1980,"KNA",659,"Saint Kitts and Nevis",0
1980,"LCA",662,"Saint Lucia",0
1980,"MAF",663,"Saint Martin",0
1980,"VCT",670,"Saint Vincent and the Grenadines",0
1980,"SUR",740,"Suriname",0
1980,"TTO",780,"Trinidad and Tobago",0
1980,"TCA",796,"Turks and Caicos Islands",0
1980,"USA",840,"United States of America",63
1980,"URY",858,"Uruguay",0
1980,"VEN",862,"Venezuela",39
1980,"VGB",92,"Virgin Islands (UK)",0
1980,"VIR",850,"Virgin Islands (US)",0
1980,NA,NA,"Total",65523
1981,"AIA",660,"Anguilla",1
1981,"ATG",28,"Antigua and Barbuda",0
1981,"ARG",32,"Argentina",0
1981,"ABW",533,"Aruba",0
1981,"BHS",44,"Bahamas",0
1981,"BRB",52,"Barbados",6
1981,"BLZ",84,"Belize",9
1981,"BMU",60,"Bermuda",0
1981,"BOL",68,"Bolivia",0
1981,NA,NA,"Bonaire, Saint Eustatius and Saba",0
1981,"BRA",76,"Brazil",0
1981,"CAN",124,"Canada",0
1981,"CYM",136,"Cayman Islands",0
1981,"CHL",152,"Chile",0
1981,"COL",170,"Colombia",10790
1981,"CRI",188,"Costa Rica",0
1981,"CUB",192,"Cuba",333891
1981,"CUW",531,"Curaçao",0
1981,"DMA",212,"Dominica",0
1981,"DOM",214,"Dominican Republic",619
1981,"ECU",218,"Ecuador",0
1981,"SLV",222,"El Salvador",5185
1981,"GUF",254,"French Guiana",0
1981,"GRD",308,"Grenada",0
1981,"GLP",312,"Guadeloupe",0
1981,"GTM",320,"Guatemala",104
1981,"GUY",328,"Guyana",0
1981,"HTI",332,"Haiti",44
1981,"HND",340,"Honduras",1612
1981,"JAM",388,"Jamaica",47
1981,"MTQ",474,"Martinique",0
1981,"MEX",484,"Mexico",17046
1981,"MSR",500,"Montserrat",0
1981,"NIC",558,"Nicaragua",0
1981,"PAN",591,"Panama",0
1981,"PRY",600,"Paraguay",0
1981,"PER",604,"Peru",0
1981,"PRI",630,"Puerto Rico",8350
1981,"BLM",652,"Saint Barthelemy",0
1981,"KNA",659,"Saint Kitts and Nevis",0
1981,"LCA",662,"Saint Lucia",0
1981,"MAF",663,"Saint Martin",0
1981,"VCT",670,"Saint Vincent and the Grenadines",0
1981,"SUR",740,"Suriname",0
1981,"TTO",780,"Trinidad and Tobago",14
1981,"TCA",796,"Turks and Caicos Islands",0
1981,"USA",840,"United States of America",0
1981,"URY",858,"Uruguay",0
1981,"VEN",862,"Venezuela",71
1981,"VGB",92,"Virgin Islands (UK)",0
1981,"VIR",850,"Virgin Islands (US)",127
1981,NA,NA,"Total",377916
1982,"AIA",660,"Anguilla",0
1982,"ATG",28,"Antigua and Barbuda",0
1982,"ARG",32,"Argentina",0
1982,"ABW",533,"Aruba",0
1982,"BHS",44,"Bahamas",0
1982,"BRB",52,"Barbados",99
1982,"BLZ",84,"Belize",482
1982,"BMU",60,"Bermuda",0
1982,"BOL",68,"Bolivia",0
1982,NA,NA,"Bonaire, Saint Eustatius and Saba",0
1982,"BRA",76,"Brazil",12000
1982,"CAN",124,"Canada",0
1982,"CYM",136,"Cayman Islands",0
1982,"CHL",152,"Chile",0
1982,"COL",170,"Colombia",6776
1982,"CRI",188,"Costa Rica",0
1982,"CUB",192,"Cuba",0
1982,"CUW",531,"Curaçao",0
1982,"DMA",212,"Dominica",0
1982,"DOM",214,"Dominican Republic",435
1982,"ECU",218,"Ecuador",0
1982,"SLV",222,"El Salvador",5166
1982,"GUF",254,"French Guiana",0
1982,"GRD",308,"Grenada",0
1982,"GLP",312,"Guadeloupe",0
1982,"GTM",320,"Guatemala",33
1982,"GUY",328,"Guyana",0
1982,"HTI",332,"Haiti",211
1982,"HND",340,"Honduras",1217
1982,"JAM",388,"Jamaica",21
1982,"MTQ",474,"Martinique",0
1982,"MEX",484,"Mexico",32640
1982,"MSR",500,"Montserrat",0
1982,"NIC",558,"Nicaragua",0
1982,"PAN",591,"Panama",0
1982,"PRY",600,"Paraguay",0
1982,"PER",604,"Peru",0
1982,"PRI",630,"Puerto Rico",9536
1982,"BLM",652,"Saint Barthelemy",0
1982,"KNA",659,"Saint Kitts and Nevis",0
1982,"LCA",662,"Saint Lucia",0
1982,"MAF",663,"Saint Martin",0
1982,"VCT",670,"Saint Vincent and the Grenadines",0
1982,"SUR",740,"Suriname",219
1982,"TTO",780,"Trinidad and Tobago",16
1982,"TCA",796,"Turks and Caicos Islands",0
1982,"USA",840,"United States of America",0
1982,"URY",858,"Uruguay",0
1982,"VEN",862,"Venezuela",39
