"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","Travel-associated cases","Reported cases","N","2008-01","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","DE","Germany",23.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","EU_EEA31","EU/EEA",35.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","EU28","EU",35.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","FR","France",5.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","HU","Hungary",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","IT","Italy",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","SE","Sweden",6.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","SI","Slovenia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-01","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-02","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-02","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-02","CZ","Czechia",0.000000000,""
